Year,LandslideID,Zone,TreeID,Species_Jp,DBH_cm,H_m,BA,BEF,R,D1,TimVol,AGBiomass_mg
1947,16,Initiation,B690,Akashide,5.1,6.8,20.42820623,1.26,0.26,0.624,0.007284698,0.005727521
1947,16,Initiation,B691,Akashide,6.1,6.8,29.22466566,1.26,0.26,0.624,0.010846818,0.008528202
1947,16,Initiation,B692,Akashide,2.8,3.4,6.157521601,1.26,0.26,0.624,0.001920486,0.001509963
1947,16,Initiation,B693,Akashide,4.3,4.3,14.52201204,1.26,0.26,0.624,0.004984869,0.003919304
1947,16,Initiation,B694,Akashide,4.9,7.6,18.8574099,1.26,0.26,0.624,0.006664721,0.00524007
1947,16,Initiation,B695,Akashide,9.8,9.1,75.42963961,1.26,0.26,0.624,0.03112376,0.024470745
1947,16,Initiation,B696,Akashide,2.8,3.4,6.157521601,1.26,0.26,0.624,0.001920486,0.001509963
1947,16,Initiation,B697,Akashide,3.7,2.5,10.75210086,1.26,0.26,0.624,0.003568944,0.002806046
1947,16,Initiation,B698,Akashide,5.3,7.2,22.06183441,1.26,0.26,0.624,0.007935147,0.00623893
1947,16,Initiation,B699,Sawashiba,3.3,5.1,8.552985999,1.26,0.26,0.624,0.002767349,0.0021758
1947,16,Initiation,B700,Akashide,4.6,5.1,16.61902514,1.26,0.26,0.624,0.005791296,0.004553349
1947,16,Initiation,B701,Kihada,27,15,572.5552611,1.18,0.26,0.344,0.476349605,0.193359832
1947,16,Initiation,B702,Sawashiba,3,2.5,7.068583471,1.26,0.26,0.624,0.002238883,0.001760299
1947,16,Initiation,B703,Akashide,6.8,7.8,36.31681108,1.26,0.26,0.624,0.013810211,0.01085814
1947,16,Initiation,B704,Akashide,5.8,6.8,26.42079422,1.26,0.26,0.624,0.009696295,0.007623615
1947,16,Initiation,B705,Harigiri,18,11.9,254.4690049,1.18,0.26,0.398,0.17863998,0.08389648
1947,16,Initiation,B706,Akashide,5.8,7.6,26.42079422,1.26,0.26,0.624,0.009696295,0.007623615
1947,16,Initiation,B707,Akashide,7.6,8.4,45.36459792,1.26,0.26,0.624,0.017684832,0.013904522
1947,16,Initiation,B708,Akashide,5.8,6.8,26.42079422,1.26,0.26,0.624,0.009696295,0.007623615
1947,16,Initiation,B709,Akashide,6.7,6.8,35.25652355,1.26,0.26,0.624,0.013362715,0.010506301
1947,16,Initiation,B710,Akashide,2.5,3.4,4.908738521,1.26,0.26,0.624,0.001492725,0.00117364
1947,16,Initiation,B711,Aodamo,4.3,5.1,14.52201204,1.26,0.26,0.624,0.004984869,0.003919304
1947,16,Initiation,B712,Akashide,5.4,6.8,22.90221044,1.26,0.26,0.624,0.008271881,0.006503684
1947,16,Initiation,B713,Akashide,3,3.4,7.068583471,1.26,0.26,0.624,0.002238883,0.001760299
1947,16,Initiation,B714,Akashide,2.9,4.3,6.605198554,1.26,0.26,0.624,0.002076327,0.001632491
1947,16,Initiation,B715,Akashide,2.4,3.4,4.523893421,1.26,0.26,0.624,0.001363207,0.001071808
1947,16,Transport,B716,Sawashiba,2.3,3.4,4.154756284,1.26,0.26,0.624,0.001240126,0.000975036
1947,16,Transport,B717,Sawashiba,2.2,2.5,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,16,Transport,B718,Ezoitaya,5.4,5.1,22.90221044,1.18,0.26,0.519,0.009709285,0.005946161
1947,16,Transport,B719,Ezoitaya,15.8,7.6,196.0667975,1.18,0.26,0.519,0.130326169,0.079814352
1947,16,Transport,B720,Sawashiba,1.9,2.5,2.83528737,1.26,0.26,0.624,0.000810925,0.000637582
1947,16,Transport,B721,Ezoitaya,11.2,8,98.52034562,1.18,0.26,0.519,0.056696138,0.034721849
1947,16,Transport,B722,Mizunara,27,14.4,572.5552611,1.26,0.26,0.624,0.476349605,0.374525113
1947,16,Transport,B723,Mizunara,24.9,16.6,486.9547153,1.26,0.26,0.624,0.391621567,0.307908541
1947,16,Transport,B724,Mizunara,32.5,20.3,829.5768101,1.26,0.26,0.624,0.745924139,0.586475395
1947,16,Transport,B725,Sawashiba,1.8,1.7,2.544690049,1.26,0.26,0.624,0.000719073,0.000565364
1947,16,Transport,B726,Sawashiba,2.5,2.5,4.908738521,1.26,0.26,0.624,0.001492725,0.00117364
1947,16,Transport,B727,Akashide,3.9,5.1,11.94590607,1.26,0.26,0.624,0.004012112,0.003154483
1947,16,Transport,B728,Azukinashi,8.8,8.8,60.82123377,1.26,0.26,0.624,0.024499813,0.019262733
1947,16,Transport,B729,Azukinashi,8.3,8.3,54.10607948,1.26,0.26,0.624,0.021511873,0.016913495
1947,16,Transport,B730,Aodamo,7.1,7.7,39.59192142,1.26,0.26,0.624,0.015201548,0.011952065
1947,16,Transport,B731,Sawashiba,2.3,3.4,4.154756284,1.26,0.26,0.624,0.001240126,0.000975036
1947,16,Transport,B732,Sawashiba,1.9,2.5,2.83528737,1.26,0.26,0.624,0.000810925,0.000637582
1947,16,Transport,B733,Sawashiba,2.2,3.4,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,16,Transport,B734,Mizunara,24,15.6,452.3893421,1.26,0.26,0.624,0.358255588,0.281674873
1947,16,Transport,B735,Mizunara,21.5,17.9,363.050301,1.26,0.26,0.624,0.274558814,0.215869122
1947,16,Transport,B736,Sawashiba,8.5,6.8,56.74501731,1.26,0.26,0.624,0.022681409,0.017833031
1947,16,Transport,B737,Yamamomiji,10.8,11.6,91.60884178,1.18,0.26,0.519,0.038629081,0.023657222
1947,16,Transport,B738,Konara,30,17.8,706.8583471,1.26,0.26,0.624,0.61462271,0.483240959
1947,16,Transport,B739,Akashide,3.8,5.1,11.34114948,1.26,0.26,0.624,0.003786961,0.00297746
1947,16,Transport,B740,Sawashiba,2.2,2.5,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,16,Transport,B741,Akashide,6.1,6.8,29.22466566,1.26,0.26,0.624,0.010846818,0.008528202
1947,16,Transport,B742,Sawashiba,1.8,1.7,2.544690049,1.26,0.26,0.624,0.000719073,0.000565364
1947,16,Transport,B743,Azukinashi,15.4,15.4,186.2650284,1.26,0.26,0.624,0.085022441,0.066848044
1947,16,Transport,B744,Akashide,5.5,6.8,23.75829444,1.26,0.26,0.624,0.008616332,0.006774505
1947,16,Transport,B745,Sawashiba,2.9,2.5,6.605198554,1.26,0.26,0.624,0.002076327,0.001632491
1947,16,Transport,B746,Mizunara,24.1,16.8,456.1671073,1.26,0.26,0.624,0.361877036,0.284522201
1947,16,Transport,B747,Mizunara,20,21.4,314.1592654,1.26,0.26,0.624,0.230494972,0.181224367
1947,16,Transport,B748,Hakunboku,6.5,8.8,33.1830724,1.26,0.26,0.624,0.012491988,0.009821701
1947,16,Transport,B749,Mizunara,19.7,14.8,304.8051732,1.26,0.26,0.624,0.22222062,0.17471874
1947,16,Transport,B750,Yamamomiji,13.5,11.2,143.1388153,1.18,0.26,0.519,0.063443057,0.038853797
